STOPWORDS
단원
그림
개념확인문제
정답은부록참조
부록
요약
핵심개념요약
핵심개념
개념
과학적사고력키우기
과학사고력키우기
다른
가지
때문
결과
대한
일부
가장
모든
하나
우리
서로
자료
방식
발견
하라
수컷
포함
사람
대해
연구자
다음
관찰
경우
실험
또한
로부터
위해
매우
초기
동안
생각
현재
각각
오늘날
여러
모두
통해
표시
암컷
자신
문제
비록
이상
만약
부리
 자
특정
정도
방법
무엇
이후
수도
부분
대부분
부위
다리
시기
다시
과학
핵심
예측
관련
초파리
의미
과학자
호수
대 
 자
참조
도마뱀
연대
반면
이유
일반
계속
거의
수의
식물
포유류
동물
조류
곤충
척추 
공룡
침팬지
물고기
